Timer started ...
MOD: delay(1250 1250), type(tTMRCO20), from(I1.OSCOUT), to(I1.TIMEROUT)
CHK: delay(200 200), type(tS_PT), from(o_DIS4_2_.D ), to(o_DIS4_2_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS4_1_.AP ), to(o_DIS4_1_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS4_1_.OUT), to(o_DIS4_1_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS4_1_.C ), to(o_DIS4_1_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS4_1_.AP ), to(o_DIS4_1_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS4_1_.AP ), to(o_DIS4_1_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS4_1_.C ), to(o_DIS4_1_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS4_1_.C ), to(o_DIS4_1_.C )
CHK: delay(200 200), type(tH), from(o_DIS4_1_.D ), to(o_DIS4_1_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS4_1_.D ), to(o_DIS4_1_.C )
MOD: delay(95 95), type(tSRi), from(o_DIS4_0_.AP ), to(o_DIS4_0_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_DIS4_0_.OUT), to(o_DIS4_0_.PAD)
MOD: delay(45 45), type(tCOi), from(o_DIS4_0_.C ), to(o_DIS4_0_.OUT)
CHK: delay(0 0), type(tSRW), from(o_DIS4_0_.AP ), to(o_DIS4_0_.AP )
CHK: delay(180 180), type(tSRR), from(o_DIS4_0_.AP ), to(o_DIS4_0_.C )
CHK: delay(0 0), type(tWLA), from(o_DIS4_0_.C ), to(o_DIS4_0_.C )
CHK: delay(0 0), type(tWHA), from(o_DIS4_0_.C ), to(o_DIS4_0_.C )
CHK: delay(200 200), type(tH), from(o_DIS4_0_.D ), to(o_DIS4_0_.C )
CHK: delay(200 200), type(tS_PT), from(o_DIS4_0_.D ), to(o_DIS4_0_.C )
MOD: delay(95 95), type(tSRi), from(o_JUMBO_1_.AP ), to(o_JUMBO_1_.OUT)
MOD: delay(35 35), type(tGOi), from(o_JUMBO_1_.LH ), to(o_JUMBO_1_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_JUMBO_1_.OUT), to(o_JUMBO_1_.PAD)
MOD: delay(25 25), type(tPDLi), from(o_JUMBO_1_.D ), to(o_JUMBO_1_.OUT)
CHK: delay(0 0), type(tSRW), from(o_JUMBO_1_.AP ), to(o_JUMBO_1_.AP )
CHK: delay(180 180), type(tSRR), from(o_JUMBO_1_.AP ), to(o_JUMBO_1_.LH )
CHK: delay(0 0), type(tGWA), from(o_JUMBO_1_.LH ), to(o_JUMBO_1_.LH )
CHK: delay(200 200), type(tHL), from(o_JUMBO_1_.D ), to(o_JUMBO_1_.LH )
CHK: delay(200 200), type(tSL_PT), from(o_JUMBO_1_.D ), to(o_JUMBO_1_.LH )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_JUMBO_0_.OUT), to(o_JUMBO_0_.PAD)
MOD: delay(45 45), type(tPDi), from(o_JUMBO_0_ ), to(o_JUMBO_0_.OUT)
MOD: delay(95 95), type(tSRi), from(o_LED_YELLOW_0_.AP ), to(o_LED_YELLOW_0_.OUT)
MOD: delay(95 95), type(tSRi), from(o_LED_YELLOW_0_.AR ), to(o_LED_YELLOW_0_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_LED_YELLOW_0_.OUT), to(o_LED_YELLOW_0_.PAD)
MOD: delay(45 45), type(tCOi), from(o_LED_YELLOW_0_.C ), to(o_LED_YELLOW_0_.OUT)
CHK: delay(0 0), type(tSRW), from(o_LED_YELLOW_0_.AP ), to(o_LED_YELLOW_0_.AP )
CHK: delay(180 180), type(tSRR), from(o_LED_YELLOW_0_.AP ), to(o_LED_YELLOW_0_.C )
CHK: delay(0 0), type(tSRW), from(o_LED_YELLOW_0_.AR ), to(o_LED_YELLOW_0_.AR )
CHK: delay(180 180), type(tSRR), from(o_LED_YELLOW_0_.AR ), to(o_LED_YELLOW_0_.C )
CHK: delay(0 0), type(tWLA), from(o_LED_YELLOW_0_.C ), to(o_LED_YELLOW_0_.C )
CHK: delay(0 0), type(tWHA), from(o_LED_YELLOW_0_.C ), to(o_LED_YELLOW_0_.C )
CHK: delay(200 200), type(tH), from(o_LED_YELLOW_0_.D ), to(o_LED_YELLOW_0_.C )
CHK: delay(200 200), type(tS_PT), from(o_LED_YELLOW_0_.D ), to(o_LED_YELLOW_0_.C )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_TOPRED_6_.OUT), to(o_TOPRED_6_.PAD)
MOD: delay(45 45), type(tPDi), from(o_TOPRED_6_ ), to(o_TOPRED_6_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_TOPRED_5_.OUT), to(o_TOPRED_5_.PAD)
MOD: delay(45 45), type(tPDi), from(o_TOPRED_5_ ), to(o_TOPRED_5_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_TOPRED_4_.OUT), to(o_TOPRED_4_.PAD)
MOD: delay(45 45), type(tPDi), from(o_TOPRED_4_ ), to(o_TOPRED_4_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_TOPRED_3_.OUT), to(o_TOPRED_3_.PAD)
MOD: delay(45 45), type(tPDi), from(o_TOPRED_3_ ), to(o_TOPRED_3_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_TOPRED_2_.OUT), to(o_TOPRED_2_.PAD)
MOD: delay(45 45), type(tPDi), from(o_TOPRED_2_ ), to(o_TOPRED_2_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_TOPRED_1_.OUT), to(o_TOPRED_1_.PAD)
MOD: delay(45 45), type(tPDi), from(o_TOPRED_1_ ), to(o_TOPRED_1_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_TOPRED_0_.OUT), to(o_TOPRED_0_.PAD)
MOD: delay(45 45), type(tPDi), from(o_TOPRED_0_ ), to(o_TOPRED_0_.OUT)
MOD: delay(35 35), type(tGOi), from(o_MIDRED_6_.LH ), to(o_MIDRED_6_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_MIDRED_6_.OUT), to(o_MIDRED_6_.PAD)
MOD: delay(25 25), type(tPDLi), from(o_MIDRED_6_.D ), to(o_MIDRED_6_.OUT)
CHK: delay(0 0), type(tGWA), from(o_MIDRED_6_.LH ), to(o_MIDRED_6_.LH )
CHK: delay(200 200), type(tHL), from(o_MIDRED_6_.D ), to(o_MIDRED_6_.LH )
CHK: delay(200 200), type(tSL_PT), from(o_MIDRED_6_.D ), to(o_MIDRED_6_.LH )
MOD: delay(35 35), type(tGOi), from(o_MIDRED_5_.LH ), to(o_MIDRED_5_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_MIDRED_5_.OUT), to(o_MIDRED_5_.PAD)
MOD: delay(25 25), type(tPDLi), from(o_MIDRED_5_.D ), to(o_MIDRED_5_.OUT)
CHK: delay(0 0), type(tGWA), from(o_MIDRED_5_.LH ), to(o_MIDRED_5_.LH )
CHK: delay(200 200), type(tHL), from(o_MIDRED_5_.D ), to(o_MIDRED_5_.LH )
CHK: delay(200 200), type(tSL_PT), from(o_MIDRED_5_.D ), to(o_MIDRED_5_.LH )
MOD: delay(35 35), type(tGOi), from(o_MIDRED_4_.LH ), to(o_MIDRED_4_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_MIDRED_4_.OUT), to(o_MIDRED_4_.PAD)
MOD: delay(25 25), type(tPDLi), from(o_MIDRED_4_.D ), to(o_MIDRED_4_.OUT)
CHK: delay(0 0), type(tGWA), from(o_MIDRED_4_.LH ), to(o_MIDRED_4_.LH )
CHK: delay(200 200), type(tHL), from(o_MIDRED_4_.D ), to(o_MIDRED_4_.LH )
CHK: delay(200 200), type(tSL_PT), from(o_MIDRED_4_.D ), to(o_MIDRED_4_.LH )
MOD: delay(35 35), type(tGOi), from(o_MIDRED_3_.LH ), to(o_MIDRED_3_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_MIDRED_3_.OUT), to(o_MIDRED_3_.PAD)
MOD: delay(25 25), type(tPDLi), from(o_MIDRED_3_.D ), to(o_MIDRED_3_.OUT)
CHK: delay(0 0), type(tGWA), from(o_MIDRED_3_.LH ), to(o_MIDRED_3_.LH )
CHK: delay(200 200), type(tHL), from(o_MIDRED_3_.D ), to(o_MIDRED_3_.LH )
CHK: delay(200 200), type(tSL_PT), from(o_MIDRED_3_.D ), to(o_MIDRED_3_.LH )
MOD: delay(35 35), type(tGOi), from(o_MIDRED_2_.LH ), to(o_MIDRED_2_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_MIDRED_2_.OUT), to(o_MIDRED_2_.PAD)
MOD: delay(25 25), type(tPDLi), from(o_MIDRED_2_.D ), to(o_MIDRED_2_.OUT)
CHK: delay(0 0), type(tGWA), from(o_MIDRED_2_.LH ), to(o_MIDRED_2_.LH )
CHK: delay(200 200), type(tHL), from(o_MIDRED_2_.D ), to(o_MIDRED_2_.LH )
CHK: delay(200 200), type(tSL_PT), from(o_MIDRED_2_.D ), to(o_MIDRED_2_.LH )
MOD: delay(35 35), type(tGOi), from(o_MIDRED_1_.LH ), to(o_MIDRED_1_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_MIDRED_1_.OUT), to(o_MIDRED_1_.PAD)
MOD: delay(25 25), type(tPDLi), from(o_MIDRED_1_.D ), to(o_MIDRED_1_.OUT)
CHK: delay(0 0), type(tGWA), from(o_MIDRED_1_.LH ), to(o_MIDRED_1_.LH )
CHK: delay(200 200), type(tHL), from(o_MIDRED_1_.D ), to(o_MIDRED_1_.LH )
CHK: delay(200 200), type(tSL_PT), from(o_MIDRED_1_.D ), to(o_MIDRED_1_.LH )
MOD: delay(35 35), type(tGOi), from(o_MIDRED_0_.LH ), to(o_MIDRED_0_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_MIDRED_0_.OUT), to(o_MIDRED_0_.PAD)
MOD: delay(25 25), type(tPDLi), from(o_MIDRED_0_.D ), to(o_MIDRED_0_.OUT)
CHK: delay(0 0), type(tGWA), from(o_MIDRED_0_.LH ), to(o_MIDRED_0_.LH )
CHK: delay(200 200), type(tHL), from(o_MIDRED_0_.D ), to(o_MIDRED_0_.LH )
CHK: delay(200 200), type(tSL_PT), from(o_MIDRED_0_.D ), to(o_MIDRED_0_.LH )
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_BOTRED_6_.OUT), to(o_BOTRED_6_.PAD)
MOD: delay(45 45), type(tPDi), from(o_BOTRED_6_ ), to(o_BOTRED_6_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_BOTRED_5_.OUT), to(o_BOTRED_5_.PAD)
MOD: delay(45 45), type(tPDi), from(o_BOTRED_5_ ), to(o_BOTRED_5_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_BOTRED_4_.OUT), to(o_BOTRED_4_.PAD)
MOD: delay(45 45), type(tPDi), from(o_BOTRED_4_ ), to(o_BOTRED_4_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_BOTRED_3_.OUT), to(o_BOTRED_3_.PAD)
MOD: delay(45 45), type(tPDi), from(o_BOTRED_3_ ), to(o_BOTRED_3_.OUT)
MOD: delay(95 95), type(tSRi), from(o_JUMBO_2_.AR ), to(o_JUMBO_2_.OUT)
MOD: delay(35 35), type(tGOi), from(o_JUMBO_2_.LH ), to(o_JUMBO_2_.OUT)
MOD: delay(140 140), type(tORP+tBUF+tIOO(LVCMOS18)), from(o_JUMBO_2_.OUT), to(o_JUMBO_2_.PAD)
MOD: delay(25 25), type(tPDLi), from(o_JUMBO_2_.D ), to(o_JUMBO_2_.OUT)
CHK: delay(0 0), type(tSRW), from(o_JUMBO_2_.AR ), to(o_JUMBO_2_.AR )
CHK: delay(180 180), type(tSRR), from(o_JUMBO_2_.AR ), to(o_JUMBO_2_.LH )
CHK: delay(0 0), type(tGWA), from(o_JUMBO_2_.LH ), to(o_JUMBO_2_.LH )
CHK: delay(200 200), type(tHL), from(o_JUMBO_2_.D ), to(o_JUMBO_2_.LH )
CHK: delay(200 200), type(tSL_PT), from(o_JUMBO_2_.D ), to(o_JUMBO_2_.LH )
MOD: delay(95 95), type(tSRi), from(LFTPB_Q.AP ), to(LFTPB_Q.Q )
MOD: delay(95 95), type(tSRi), from(LFTPB_Q.AR ), to(LFTPB_Q.Q )
MOD: delay(45 45), type(tCOi), from(LFTPB_Q.C ), to(LFTPB_Q.Q )
CHK: delay(0 0), type(tSRW), from(LFTPB_Q.AP ), to(LFTPB_Q.AP )
CHK: delay(180 180), type(tSRR), from(LFTPB_Q.AP ), to(LFTPB_Q.C )
CHK: delay(0 0), type(tSRW), from(LFTPB_Q.AR ), to(LFTPB_Q.AR )
CHK: delay(180 180), type(tSRR), from(LFTPB_Q.AR ), to(LFTPB_Q.C )
CHK: delay(0 0), type(tWLA), from(LFTPB_Q.C ), to(LFTPB_Q.C )
CHK: delay(0 0), type(tWHA), from(LFTPB_Q.C ), to(LFTPB_Q.C )
CHK: delay(200 200), type(tH), from(LFTPB_Q.D ), to(LFTPB_Q.C )
CHK: delay(200 200), type(tS_PT), from(LFTPB_Q.D ), to(LFTPB_Q.C )
MOD: delay(95 95), type(tSRi), from(FDIVBY2_clk_out.AR ), to(FDIVBY2_clk_out.Q )
MOD: delay(45 45), type(tCOi), from(FDIVBY2_clk_out.C ), to(FDIVBY2_clk_out.Q )
CHK: delay(0 0), type(tSRW), from(FDIVBY2_clk_out.AR ), to(FDIVBY2_clk_out.AR )
CHK: delay(180 180), type(tSRR), from(FDIVBY2_clk_out.AR ), to(FDIVBY2_clk_out.C )
CHK: delay(0 0), type(tWLA), from(FDIVBY2_clk_out.C ), to(FDIVBY2_clk_out.C )
CHK: delay(0 0), type(tWHA), from(FDIVBY2_clk_out.C ), to(FDIVBY2_clk_out.C )
CHK: delay(200 200), type(tH), from(FDIVBY2_clk_out.D ), to(FDIVBY2_clk_out.C )
CHK: delay(200 200), type(tS_PT), from(FDIVBY2_clk_out.D ), to(FDIVBY2_clk_out.C )
MOD: delay(95 95), type(tSRi), from(FDIVBY4_clk_out.AR ), to(FDIVBY4_clk_out.Q )
MOD: delay(45 45), type(tCOi), from(FDIVBY4_clk_out.C ), to(FDIVBY4_clk_out.Q )
CHK: delay(0 0), type(tSRW), from(FDIVBY4_clk_out.AR ), to(FDIVBY4_clk_out.AR )
CHK: delay(180 180), type(tSRR), from(FDIVBY4_clk_out.AR ), to(FDIVBY4_clk_out.C )
CHK: delay(0 0), type(tWLA), from(FDIVBY4_clk_out.C ), to(FDIVBY4_clk_out.C )
CHK: delay(0 0), type(tWHA), from(FDIVBY4_clk_out.C ), to(FDIVBY4_clk_out.C )
CHK: delay(200 200), type(tH), from(FDIVBY4_clk_out.D ), to(FDIVBY4_clk_out.C )
CHK: delay(200 200), type(tS_PT), from(FDIVBY4_clk_out.D ), to(FDIVBY4_clk_out.C )
MOD: delay(95 95), type(tSRi), from(RGTPB_Q.AP ), to(RGTPB_Q.Q )
MOD: delay(95 95), type(tSRi), from(RGTPB_Q.AR ), to(RGTPB_Q.Q )
MOD: delay(45 45), type(tCOi), from(RGTPB_Q.C ), to(RGTPB_Q.Q )
CHK: delay(0 0), type(tSRW), from(RGTPB_Q.AP ), to(RGTPB_Q.AP )
CHK: delay(180 180), type(tSRR), from(RGTPB_Q.AP ), to(RGTPB_Q.C )
CHK: delay(0 0), type(tSRW), from(RGTPB_Q.AR ), to(RGTPB_Q.AR )
CHK: delay(180 180), type(tSRR), from(RGTPB_Q.AR ), to(RGTPB_Q.C )
CHK: delay(0 0), type(tWLA), from(RGTPB_Q.C ), to(RGTPB_Q.C )
CHK: delay(0 0), type(tWHA), from(RGTPB_Q.C ), to(RGTPB_Q.C )
CHK: delay(200 200), type(tH), from(RGTPB_Q.D ), to(RGTPB_Q.C )
CHK: delay(200 200), type(tS_PT), from(RGTPB_Q.D ), to(RGTPB_Q.C )
MOD: delay(95 95), type(tSRi), from(STEP5_outNMSG_1_0_.AR ), to(STEP5_outNMSG_1_0_.Q )
MOD: delay(35 35), type(tGOi), from(STEP5_outNMSG_1_0_.LH ), to(STEP5_outNMSG_1_0_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP5_outNMSG_1_0_.D ), to(STEP5_outNMSG_1_0_.Q )
CHK: delay(0 0), type(tSRW), from(STEP5_outNMSG_1_0_.AR ), to(STEP5_outNMSG_1_0_.AR )
CHK: delay(180 180), type(tSRR), from(STEP5_outNMSG_1_0_.AR ), to(STEP5_outNMSG_1_0_.LH )
CHK: delay(0 0), type(tGWA), from(STEP5_outNMSG_1_0_.LH ), to(STEP5_outNMSG_1_0_.LH )
CHK: delay(200 200), type(tHL), from(STEP5_outNMSG_1_0_.D ), to(STEP5_outNMSG_1_0_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP5_outNMSG_1_0_.D ), to(STEP5_outNMSG_1_0_.LH )
MOD: delay(95 95), type(tSRi), from(STEP5_outNMSG_1_1_.AR ), to(STEP5_outNMSG_1_1_.Q )
MOD: delay(35 35), type(tGOi), from(STEP5_outNMSG_1_1_.LH ), to(STEP5_outNMSG_1_1_.Q )
MOD: delay(25 25), type(tPDLi), from(STEP5_outNMSG_1_1_.D ), to(STEP5_outNMSG_1_1_.Q )
CHK: delay(0 0), type(tSRW), from(STEP5_outNMSG_1_1_.AR ), to(STEP5_outNMSG_1_1_.AR )
CHK: delay(180 180), type(tSRR), from(STEP5_outNMSG_1_1_.AR ), to(STEP5_outNMSG_1_1_.LH )
CHK: delay(0 0), type(tGWA), from(STEP5_outNMSG_1_1_.LH ), to(STEP5_outNMSG_1_1_.LH )
CHK: delay(200 200), type(tHL), from(STEP5_outNMSG_1_1_.D ), to(STEP5_outNMSG_1_1_.LH )
CHK: delay(200 200), type(tSL_PT), from(STEP5_outNMSG_1_1_.D ), to(STEP5_outNMSG_1_1_.LH )
MOD: delay(45 45), type(tCOi), from(STEP1A_outCHAR_0_.C ), to(STEP1A_outCHAR_0_.Q )
CHK: delay(0 0), type(tWLA), from(STEP1A_outCHAR_0_.C ), to(STEP1A_outCHAR_0_.C )
CHK: delay(0 0), type(tWHA), from(STEP1A_outCHAR_0_.C ), to(STEP1A_outCHAR_0_.C )
CHK: delay(200 200), type(tH), from(STEP1A_outCHAR_0_.D ), to(STEP1A_outCHAR_0_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1A_outCHAR_0_.D ), to(STEP1A_outCHAR_0_.C )
MOD: delay(45 45), type(tCOi), from(STEP1A_outCHAR_1_.C ), to(STEP1A_outCHAR_1_.Q )
CHK: delay(0 0), type(tWLA), from(STEP1A_outCHAR_1_.C ), to(STEP1A_outCHAR_1_.C )
CHK: delay(0 0), type(tWHA), from(STEP1A_outCHAR_1_.C ), to(STEP1A_outCHAR_1_.C )
CHK: delay(200 200), type(tH), from(STEP1A_outCHAR_1_.D ), to(STEP1A_outCHAR_1_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1A_outCHAR_1_.D ), to(STEP1A_outCHAR_1_.C )
MOD: delay(45 45), type(tCOi), from(STEP1A_outCHAR_2_.C ), to(STEP1A_outCHAR_2_.Q )
CHK: delay(0 0), type(tWLA), from(STEP1A_outCHAR_2_.C ), to(STEP1A_outCHAR_2_.C )
CHK: delay(0 0), type(tWHA), from(STEP1A_outCHAR_2_.C ), to(STEP1A_outCHAR_2_.C )
CHK: delay(200 200), type(tH), from(STEP1A_outCHAR_2_.D ), to(STEP1A_outCHAR_2_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1A_outCHAR_2_.D ), to(STEP1A_outCHAR_2_.C )
MOD: delay(45 45), type(tCOi), from(STEP1A_outCHAR_3_.C ), to(STEP1A_outCHAR_3_.Q )
CHK: delay(0 0), type(tWLA), from(STEP1A_outCHAR_3_.C ), to(STEP1A_outCHAR_3_.C )
CHK: delay(0 0), type(tWHA), from(STEP1A_outCHAR_3_.C ), to(STEP1A_outCHAR_3_.C )
CHK: delay(200 200), type(tH), from(STEP1A_outCHAR_3_.D ), to(STEP1A_outCHAR_3_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1A_outCHAR_3_.D ), to(STEP1A_outCHAR_3_.C )
MOD: delay(45 45), type(tCOi), from(STEP1A_outCHAR_4_.C ), to(STEP1A_outCHAR_4_.Q )
CHK: delay(0 0), type(tWLA), from(STEP1A_outCHAR_4_.C ), to(STEP1A_outCHAR_4_.C )
CHK: delay(0 0), type(tWHA), from(STEP1A_outCHAR_4_.C ), to(STEP1A_outCHAR_4_.C )
CHK: delay(200 200), type(tH), from(STEP1A_outCHAR_4_.D ), to(STEP1A_outCHAR_4_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1A_outCHAR_4_.D ), to(STEP1A_outCHAR_4_.C )
MOD: delay(45 45), type(tCOi), from(STEP1A_outCHAR_5_.C ), to(STEP1A_outCHAR_5_.Q )
CHK: delay(0 0), type(tWLA), from(STEP1A_outCHAR_5_.C ), to(STEP1A_outCHAR_5_.C )
CHK: delay(0 0), type(tWHA), from(STEP1A_outCHAR_5_.C ), to(STEP1A_outCHAR_5_.C )
CHK: delay(200 200), type(tH), from(STEP1A_outCHAR_5_.D ), to(STEP1A_outCHAR_5_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1A_outCHAR_5_.D ), to(STEP1A_outCHAR_5_.C )
MOD: delay(45 45), type(tCOi), from(STEP1A_outCHAR_6_.C ), to(STEP1A_outCHAR_6_.Q )
CHK: delay(0 0), type(tWLA), from(STEP1A_outCHAR_6_.C ), to(STEP1A_outCHAR_6_.C )
CHK: delay(0 0), type(tWHA), from(STEP1A_outCHAR_6_.C ), to(STEP1A_outCHAR_6_.C )
CHK: delay(200 200), type(tH), from(STEP1A_outCHAR_6_.D ), to(STEP1A_outCHAR_6_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1A_outCHAR_6_.D ), to(STEP1A_outCHAR_6_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_0_.AR ), to(STEP1B_outDISP_0_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_0_.C ), to(STEP1B_outDISP_0_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_0_.AR ), to(STEP1B_outDISP_0_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_0_.AR ), to(STEP1B_outDISP_0_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_0_.C ), to(STEP1B_outDISP_0_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_0_.C ), to(STEP1B_outDISP_0_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_0_.D ), to(STEP1B_outDISP_0_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_0_.D ), to(STEP1B_outDISP_0_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_1_.AR ), to(STEP1B_outDISP_1_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_1_.C ), to(STEP1B_outDISP_1_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_1_.AR ), to(STEP1B_outDISP_1_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_1_.AR ), to(STEP1B_outDISP_1_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_1_.C ), to(STEP1B_outDISP_1_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_1_.C ), to(STEP1B_outDISP_1_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_1_.D ), to(STEP1B_outDISP_1_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_1_.D ), to(STEP1B_outDISP_1_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_2_.AR ), to(STEP1B_outDISP_2_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_2_.C ), to(STEP1B_outDISP_2_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_2_.AR ), to(STEP1B_outDISP_2_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_2_.AR ), to(STEP1B_outDISP_2_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_2_.C ), to(STEP1B_outDISP_2_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_2_.C ), to(STEP1B_outDISP_2_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_2_.D ), to(STEP1B_outDISP_2_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_2_.D ), to(STEP1B_outDISP_2_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_3_.AR ), to(STEP1B_outDISP_3_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_3_.C ), to(STEP1B_outDISP_3_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_3_.AR ), to(STEP1B_outDISP_3_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_3_.AR ), to(STEP1B_outDISP_3_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_3_.C ), to(STEP1B_outDISP_3_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_3_.C ), to(STEP1B_outDISP_3_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_3_.D ), to(STEP1B_outDISP_3_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_3_.D ), to(STEP1B_outDISP_3_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_4_.AR ), to(STEP1B_outDISP_4_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_4_.C ), to(STEP1B_outDISP_4_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_4_.AR ), to(STEP1B_outDISP_4_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_4_.AR ), to(STEP1B_outDISP_4_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_4_.C ), to(STEP1B_outDISP_4_.C )
CHK: delay(0 0), type(tWHA), from(STEP1B_outDISP_4_.C ), to(STEP1B_outDISP_4_.C )
CHK: delay(200 200), type(tH), from(STEP1B_outDISP_4_.D ), to(STEP1B_outDISP_4_.C )
CHK: delay(200 200), type(tS_PT), from(STEP1B_outDISP_4_.D ), to(STEP1B_outDISP_4_.C )
MOD: delay(95 95), type(tSRi), from(STEP1B_outDISP_5_.AR ), to(STEP1B_outDISP_5_.Q )
MOD: delay(45 45), type(tCOi), from(STEP1B_outDISP_5_.C ), to(STEP1B_outDISP_5_.Q )
CHK: delay(0 0), type(tSRW), from(STEP1B_outDISP_5_.AR ), to(STEP1B_outDISP_5_.AR )
CHK: delay(180 180), type(tSRR), from(STEP1B_outDISP_5_.AR ), to(STEP1B_outDISP_5_.C )
CHK: delay(0 0), type(tWLA), from(STEP1B_outDISP_5_.C ), to(STEP1B_outDISP_5_.C )
